0.000000;-1.000000;8.810000;-1.000000
0.064000;1.559568;-1.952957;-0.368610
0.128000;0.773766;5.709255;0.696006
0.192000;-3.609611;-3.022165;-0.450512
0.256000;-2.311495;0.077010;0.033846
0.320000;-2.085062;-0.053192;0.047784
0.384000;-1.785198;0.089675;0.064838
0.448000;-1.470200;0.120585;0.091363
0.512000;-1.169300;0.237124;0.071049
0.576000;-0.982740;0.415380;0.133863
0.640000;2.813088;-1.072075;0.269095
0.704000;0.427606;-0.172505;0.321514
0.768000;0.714641;0.134803;0.269078
0.832000;0.286113;0.030555;-0.290843
0.896000;-0.097787;0.054596;0.004598
0.960000;-0.017588;0.296442;-0.122595
1.024000;0.151206;0.024773;-0.240123
1.088000;0.301584;-0.092429;-0.512606
1.152000;0.424905;-0.047165;-0.879754
1.216000;0.038897;-0.343691;0.558735
1.280000;0.522305;0.168159;-1.171154
1.344000;0.024590;0.159771;-0.072870
1.408000;-0.364721;-0.042187;0.195599
1.472000;-0.544656;0.260243;0.136229
1.536000;-0.291554;0.104241;0.151498
1.600000;0.323073;-0.056096;0.249559
1.664000;-0.045882;-0.733509;-1.420602
1.728000;0.706694;0.243993;1.966029
1.792000;-0.071470;0.070526;0.898622
1.856000;-0.029312;0.049046;0.059418
1.920000;-0.164155;-0.175822;-0.192080
1.984000;-0.385734;0.284975;0.053209
2.048000;-0.166890;-0.047420;0.136978
2.112000;0.027373;-1.021768;2.987826
2.176000;0.125146;1.167388;0.811691
2.240000;-0.336572;0.043287;-1.028719
2.304000;-0.344493;-0.114078;-0.562480
2.368000;-0.493109;0.010301;-0.793356
2.432000;-0.405589;0.010899;-0.515645
2.496000;-0.327045;-0.002726;-0.456065
2.560000;-0.237264;0.095274;-0.281742
2.624000;-0.009364;0.000306;-0.014892
2.688000;-0.002897;-0.041949;-0.587012
2.752000;-0.029686;0.101777;0.746501
2.816000;0.126262;0.060510;0.355101
2.880000;0.119922;-0.012129;0.260615
2.944000;0.089073;-0.077430;0.173826
3.008000;0.056220;-0.033916;0.138081
3.072000;0.044144;0.011130;0.147695
3.136000;0.018660;-0.095680;0.111295
