0.000000;0.000000
0.064000;0.003260
0.128000;0.053387
0.192000;0.136589
0.256000;0.221324
0.320000;0.261170
0.384000;0.276383
0.448000;0.282538
0.512000;0.285178
0.576000;0.286353
0.640000;0.286886
0.704000;0.287130
0.768000;0.287242
0.832000;0.287294
0.896000;0.287318
0.960000;0.287329
1.024000;0.287334
1.088000;0.287336
1.152000;0.287337
1.216000;0.287338
1.280000;0.287338
1.344000;0.287338
1.408000;0.287338
1.472000;0.287338
1.536000;0.287338
1.600000;0.287338
1.664000;0.287338
1.728000;0.287338
1.792000;0.287338
1.856000;0.287338
1.920000;0.287338
1.984000;0.287338
2.048000;0.287338
